iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,LogReg,TFIDF_profile_text,500,True,0.77,0.4356,0.4225,0.422,0.6687
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,Decision Tree,TFIDF_profile_text,500,True,0.61,0.5132,0.4123,0.3897,0.5904
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,Decision Tree,TFIDF_profile_text,500,True,0.62,0.5397,0.4678,0.4102,0.6674
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,Random Forest,TFIDF_profile_text,500,True,0.71,0.2926,0.3626,0.3228,0.5681
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,Random Forest,TFIDF_profile_text,500,True,0.67,0.3081,0.3962,0.329,0.6678
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,SVM,TFIDF_profile_text,500,True,0.77,0.4521,0.3942,0.3946,
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,SVM,TFIDF_profile_text,500,True,0.76,0.4275,0.3899,0.3883,
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,AdaBoost,TFIDF_profile_text,500,True,0.71,0.3819,0.3962,0.3885,0.5073
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,AdaBoost,TFIDF_profile_text,500,True,0.77,0.4636,0.4225,0.4338,0.5335
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,XGBoost,TFIDF_profile_text,500,True,0.65,0.3549,0.384,0.365,0.5545
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,XGBoost,TFIDF_profile_text,500,True,0.76,0.4511,0.404,0.4103,0.638
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.78,0.4377,0.3986,0.398,0.7466
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.79,0.4703,0.4454,0.45,0.7432
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.75,0.4268,0.4137,0.418,0.5984
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.79,0.4588,0.4596,0.4583,0.6388
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.77,0.5972,0.3519,0.3297,0.7601
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.76,0.2695,0.3333,0.298,0.7719
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.76,0.4648,0.4128,0.4154,
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.76,0.4205,0.404,0.4036,
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8,0.4697,0.4922,0.4805,0.5708
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.78,0.4418,0.4693,0.4552,0.5126
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,XGBoost,TFIDF_profile_text+numeric_metadata,504,False,0.75,0.4208,0.4137,0.4161,0.7274
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,False,0.73,0.4042,0.405,0.404,0.7073
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,LogReg,TFIDF_profile_text+numeric_metadata,504,True,0.75,0.4512,0.4366,0.4398,0.7072
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,LogReg,TFIDF_profile_text+numeric_metadata,504,True,0.75,0.4208,0.4137,0.4161,0.7384
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.6,0.3349,0.3426,0.3328,0.5243
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,True,0.67,0.4306,0.4298,0.425,0.5918
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.76,0.2585,0.3333,0.2912,0.6943
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,True,0.76,0.2612,0.3333,0.2929,0.7492
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.74,0.4228,0.404,0.3993,
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,True,0.72,0.3578,0.3441,0.3411,
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.74,0.4178,0.4659,0.4376,0.5393
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.72,0.4069,0.443,0.419,0.5026
1,locals_vs_diaspora,3,18,76,6,6,K-Fold,5.0,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.74,0.4082,0.4094,0.4087,0.7072
1,locals_vs_diaspora,3,18,76,6,6,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.73,0.4077,0.405,0.4058,0.7226
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,LogReg,TFIDF_profile_text,500,False,0.8085,0.4043,0.5,0.4471,0.7979
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,LogReg,TFIDF_profile_text,500,False,0.8085,0.4043,0.5,0.4471,0.7902
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,Decision Tree,TFIDF_profile_text,500,False,0.7872,0.5306,0.508,0.4852,0.508
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,Decision Tree,TFIDF_profile_text,500,False,0.7872,0.6003,0.5504,0.5537,0.5504
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,Random Forest,TFIDF_profile_text,500,False,0.8085,0.4043,0.5,0.4471,0.6257
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,Random Forest,TFIDF_profile_text,500,False,0.8085,0.4043,0.5,0.4471,0.6787
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,SVM,TFIDF_profile_text,500,False,0.8085,0.4043,0.5,0.4471,0.7774
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,SVM,TFIDF_profile_text,500,False,0.8404,0.8213,0.6045,0.6285,0.7807
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,AdaBoost,TFIDF_profile_text,500,False,0.7979,0.4032,0.4934,0.4438,0.6893
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,AdaBoost,TFIDF_profile_text,500,False,0.8404,0.9176,0.5833,0.5979,0.6981
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,XGBoost,TFIDF_profile_text,500,False,0.7979,0.5733,0.5146,0.4907,0.6652
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,XGBoost,TFIDF_profile_text,500,False,0.8191,0.7454,0.549,0.5443,0.6572
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,LogReg,TFIDF_profile_text,500,True,0.8085,0.6726,0.606,0.6223,0.8023
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,LogReg,TFIDF_profile_text,500,True,0.8191,0.7013,0.6126,0.6324,0.8165
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,Decision Tree,TFIDF_profile_text,500,True,0.7979,0.6281,0.557,0.5617,0.557
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,Decision Tree,TFIDF_profile_text,500,True,0.7979,0.5733,0.5146,0.4907,0.5146
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,Random Forest,TFIDF_profile_text,500,True,0.8085,0.4043,0.5,0.4471,0.6042
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,Random Forest,TFIDF_profile_text,500,True,0.8085,0.4043,0.5,0.4471,0.6795
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,SVM,TFIDF_profile_text,500,True,0.7979,0.6399,0.5782,0.5891,0.776
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,SVM,TFIDF_profile_text,500,True,0.8085,0.6686,0.5848,0.5983,0.7909
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,AdaBoost,TFIDF_profile_text,500,True,0.8085,0.6648,0.5636,0.5701,0.6707
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,AdaBoost,TFIDF_profile_text,500,True,0.8085,0.6648,0.5636,0.5701,0.7083
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,XGBoost,TFIDF_profile_text,500,True,0.6596,0.5417,0.5563,0.5395,0.6626
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,XGBoost,TFIDF_profile_text,500,True,0.617,0.5602,0.5936,0.5422,0.7047
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.8511,0.8428,0.6323,0.6657,0.8158
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,LogReg,TFIDF_profile_text+numeric_metadata,504,False,0.8511,0.8052,0.6535,0.6876,0.8151
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.8298,0.7277,0.7463,0.7361,0.7463
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,Decision Tree,TFIDF_profile_text+numeric_metadata,504,False,0.8617,0.7781,0.7661,0.7718,0.7661
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.8191,0.9086,0.5278,0.5023,0.8077
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,Random Forest,TFIDF_profile_text+numeric_metadata,504,False,0.8191,0.9086,0.5278,0.5023,0.7957
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.8191,0.7013,0.6126,0.6324,0.7003
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,SVM,TFIDF_profile_text+numeric_metadata,504,False,0.8298,0.7369,0.6192,0.6429,0.7624
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8617,0.7827,0.7449,0.7611,0.7953
1,locals_vs_diaspora,2,18,76,0,18,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8617,0.7827,0.7449,0.7611,0.8414
1,locals_vs_diaspora,2,18,76,0,18,K-Fold,5.0,XGBoost,TFIDF_profile_text+numeric_metadata,504,False,0.8085,0.6813,0.6484,0.6611,0.769
