iteration,target_column,#classes,#class_0,#class_1,#class_2,min_class_size,training_type,K,algorithm,feature_set,Features_count,balanced,accuracy,precision,recall,F1,AUC
4,target_population,2,99,283,0,99,K-Fold,5,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.8403,0.7905,0.8068,0.7979,0.8754
4,target_population,2,99,283,0,99,LOOCV,,AdaBoost,TFIDF_profile_text+numeric_metadata,504,True,0.8325,0.7814,0.8114,0.7935,0.8624
4,target_population,2,99,283,0,99,K-Fold,5,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.7958,0.7339,0.7308,0.7324,0.801
4,target_population,2,99,283,0,99,LOOCV,,XGBoost,TFIDF_profile_text+numeric_metadata,504,True,0.8115,0.7577,0.7283,0.7403,0.8186
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,LogReg,TFIDF_profile_text,500,False,0.785,0.5177,0.4956,0.4981,0.7574
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,LogReg,TFIDF_profile_text,500,False,0.8025,0.5302,0.5158,0.5175,0.7545
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,Decision Tree,TFIDF_profile_text,500,False,0.7225,0.4617,0.4608,0.46,0.6237
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,Decision Tree,TFIDF_profile_text,500,False,0.735,0.4699,0.4658,0.4651,0.6185
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,Random Forest,TFIDF_profile_text,500,False,0.77,0.5027,0.4879,0.4892,0.7152
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,Random Forest,TFIDF_profile_text,500,False,0.775,0.5017,0.4961,0.4954,0.7118
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,SVM,TFIDF_profile_text,500,False,0.795,0.5163,0.5204,0.5171,
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,SVM,TFIDF_profile_text,500,False,0.795,0.5158,0.5218,0.5178,
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,AdaBoost,TFIDF_profile_text,500,False,0.7025,0.4624,0.4097,0.4047,0.5888
4,locals_vs_diaspora,3,124,261,15,15,LOOCV,,AdaBoost,TFIDF_profile_text,500,False,0.7225,0.4768,0.4354,0.4361,0.5632
4,locals_vs_diaspora,3,124,261,15,15,K-Fold,5,XGBoost,TFIDF_profile_text,500,False,0.7675,0.5054,0.4937,0.4967,0.6787
